Gene stable ID	Gene type
FBgn0036531	protein_coding
FBgn0037375	protein_coding
FBgn0035252	protein_coding
FBgn0028581	protein_coding
FBgn0033090	protein_coding
FBgn0262995	ncRNA
FBgn0032883	protein_coding
FBgn0004876	protein_coding
FBgn0262895	ncRNA
FBgn0036979	protein_coding
FBgn0004783	protein_coding
FBgn0051253	protein_coding
FBgn0267709	ncRNA
FBgn0034474	protein_coding
FBgn0262220	pre_miRNA
FBgn0053843	protein_coding
FBgn0264983	ncRNA
FBgn0035085	protein_coding
FBgn0265953	ncRNA
FBgn0266174	protein_coding
FBgn0263977	protein_coding
FBgn0264815	protein_coding
FBgn0039485	protein_coding
FBgn0046323	protein_coding
FBgn0036204	protein_coding
FBgn0033948	protein_coding
FBgn0051781	ncRNA
FBgn0035425	protein_coding
FBgn0050428	protein_coding
FBgn0034629	protein_coding
FBgn0023090	protein_coding
FBgn0035444	protein_coding
FBgn0016930	protein_coding
FBgn0005648	protein_coding
FBgn0082948	snoRNA
FBgn0261682	protein_coding
FBgn0042213	protein_coding
FBgn0029909	protein_coding
FBgn0267215	ncRNA
FBgn0039938	protein_coding
FBgn0259959	protein_coding
FBgn0035594	protein_coding
FBgn0034986	protein_coding
FBgn0003140	protein_coding
FBgn0025525	protein_coding
FBgn0034010	protein_coding
FBgn0003371	protein_coding
FBgn0036099	protein_coding
FBgn0267659	ncRNA
FBgn0033571	protein_coding
FBgn0037454	protein_coding
FBgn0033428	protein_coding
FBgn0030883	protein_coding
FBgn0265508	ncRNA
FBgn0030881	protein_coding
FBgn0000416	protein_coding
FBgn0036091	protein_coding
FBgn0037242	protein_coding
FBgn0029888	protein_coding
FBgn0033628	protein_coding
FBgn0266226	ncRNA
FBgn0037280	protein_coding
FBgn0262315	pre_miRNA
FBgn0031401	protein_coding
FBgn0003997	protein_coding
FBgn0010621	protein_coding
FBgn0266074	ncRNA
FBgn0031008	protein_coding
FBgn0034271	protein_coding
FBgn0020907	protein_coding
FBgn0013343	protein_coding
FBgn0263278	protein_coding
FBgn0051086	protein_coding
FBgn0264941	ncRNA
FBgn0262893	protein_coding
FBgn0012016	tRNA
FBgn0031252	protein_coding
FBgn0050476	protein_coding
FBgn0029898	protein_coding
FBgn0032369	protein_coding
FBgn0035611	protein_coding
FBgn0010282	protein_coding
FBgn0082933	snoRNA
FBgn0050291	protein_coding
FBgn0262518	protein_coding
FBgn0035379	protein_coding
FBgn0085214	protein_coding
FBgn0032407	protein_coding
FBgn0062442	protein_coding
FBgn0259970	protein_coding
FBgn0037464	protein_coding
FBgn0266954	ncRNA
FBgn0030769	protein_coding
FBgn0035632	protein_coding
FBgn0046873	protein_coding
FBgn0052351	protein_coding
FBgn0031804	protein_coding
FBgn0262483	protein_coding
FBgn0064119	protein_coding
FBgn0023081	protein_coding
FBgn0262734	protein_coding
FBgn0263869	ncRNA
FBgn0034910	protein_coding
FBgn0037890	protein_coding
FBgn0032178	protein_coding
FBgn0064116	protein_coding
FBgn0013799	protein_coding
FBgn0051866	protein_coding
FBgn0263834	pseudogene
FBgn0267226	ncRNA
FBgn0260487	protein_coding
FBgn0032247	protein_coding
FBgn0031643	protein_coding
FBgn0039367	protein_coding
FBgn0034345	protein_coding
FBgn0266350	ncRNA
FBgn0041702	protein_coding
FBgn0264995	ncRNA
FBgn0265372	ncRNA
FBgn0037328	protein_coding
FBgn0029722	protein_coding
FBgn0034861	protein_coding
FBgn0053423	rRNA
FBgn0035308	protein_coding
FBgn0052056	protein_coding
FBgn0035631	protein_coding
FBgn0025645	protein_coding
FBgn0086785	protein_coding
FBgn0033273	protein_coding
FBgn0262581	protein_coding
FBgn0036706	protein_coding
FBgn0285937	protein_coding
FBgn0265049	ncRNA
FBgn0033174	protein_coding
FBgn0036493	protein_coding
FBgn0034883	protein_coding
FBgn0039844	protein_coding
FBgn0262892	ncRNA
FBgn0030504	protein_coding
FBgn0026371	protein_coding
FBgn0033935	protein_coding
FBgn0051475	protein_coding
FBgn0031423	protein_coding
FBgn0267420	pseudogene
FBgn0264460	ncRNA
FBgn0038055	protein_coding
FBgn0032017	protein_coding
FBgn0028407	protein_coding
FBgn0050412	protein_coding
FBgn0263494	pseudogene
FBgn0036729	protein_coding
FBgn0012017	tRNA
FBgn0085322	protein_coding
FBgn0052181	protein_coding
FBgn0011981	tRNA
FBgn0259710	protein_coding
FBgn0260006	protein_coding
FBgn0026379	protein_coding
FBgn0036862	protein_coding
FBgn0037283	protein_coding
FBgn0038499	protein_coding
FBgn0051956	protein_coding
FBgn0033359	protein_coding
FBgn0037705	protein_coding
FBgn0042710	protein_coding
FBgn0032752	protein_coding
FBgn0038470	protein_coding
FBgn0034709	protein_coding
FBgn0039890	protein_coding
FBgn0267768	ncRNA
FBgn0267866	pseudogene
FBgn0261537	protein_coding
FBgn0011859	tRNA
FBgn0033087	protein_coding
FBgn0262874	protein_coding
FBgn0026189	protein_coding
FBgn0031610	protein_coding
FBgn0022709	protein_coding
FBgn0029768	protein_coding
FBgn0285993	ncRNA
FBgn0029897	protein_coding
FBgn0031760	protein_coding
FBgn0038488	protein_coding
FBgn0031533	protein_coding
FBgn0085351	protein_coding
FBgn0052016	protein_coding
FBgn0038219	protein_coding
FBgn0031638	protein_coding
FBgn0267500	rRNA
FBgn0029993	protein_coding
FBgn0263290	ncRNA
FBgn0040918	protein_coding
FBgn0023523	protein_coding
FBgn0053252	protein_coding
FBgn0030191	protein_coding
FBgn0004911	ncRNA
FBgn0036916	protein_coding
FBgn0034908	protein_coding
FBgn0034646	protein_coding
FBgn0031646	protein_coding
FBgn0035870	protein_coding
FBgn0031070	protein_coding
FBgn0000094	protein_coding
FBgn0030614	protein_coding
FBgn0086602	snoRNA
FBgn0036627	protein_coding
FBgn0033072	protein_coding
FBgn0263850	protein_coding
FBgn0036428	protein_coding
FBgn0004397	protein_coding
FBgn0000611	protein_coding
FBgn0003313	protein_coding
FBgn0260231	protein_coding
FBgn0262109	ncRNA
FBgn0052641	protein_coding
FBgn0039337	protein_coding
FBgn0037942	protein_coding
FBgn0053278	protein_coding
FBgn0051627	protein_coding
FBgn0038738	protein_coding
FBgn0262427	pre_miRNA
FBgn0021750	protein_coding
FBgn0053870	protein_coding
FBgn0030577	protein_coding
FBgn0000038	protein_coding
FBgn0266398	ncRNA
FBgn0033229	protein_coding
FBgn0053548	protein_coding
FBgn0010105	protein_coding
FBgn0034974	protein_coding
FBgn0021875	protein_coding
FBgn0010317	protein_coding
FBgn0265894	ncRNA
FBgn0045495	protein_coding
FBgn0010222	protein_coding
FBgn0034693	protein_coding
FBgn0034013	protein_coding
FBgn0082999	snoRNA
FBgn0011672	protein_coding
FBgn0265139	protein_coding
FBgn0040747	protein_coding
FBgn0035332	protein_coding
FBgn0003065	protein_coding
FBgn0039120	protein_coding
FBgn0267686	ncRNA
FBgn0261955	protein_coding
FBgn0015569	protein_coding
FBgn0033524	protein_coding
FBgn0033235	protein_coding
FBgn0263336	ncRNA
FBgn0032167	protein_coding
FBgn0267987	ncRNA
FBgn0086450	protein_coding
FBgn0004573	protein_coding
FBgn0039464	protein_coding
FBgn0051910	protein_coding
FBgn0032065	protein_coding
FBgn0040319	protein_coding
FBgn0026259	protein_coding
FBgn0036772	protein_coding
FBgn0053243	protein_coding
FBgn0030540	protein_coding
FBgn0040010	protein_coding
FBgn0260766	protein_coding
FBgn0032964	protein_coding
FBgn0041627	protein_coding
FBgn0028983	protein_coding
FBgn0010590	protein_coding
FBgn0035932	protein_coding
FBgn0023510	protein_coding
FBgn0038247	protein_coding
FBgn0052085	protein_coding
FBgn0266944	ncRNA
FBgn0024957	protein_coding
FBgn0283557	pre_miRNA
FBgn0001137	protein_coding
FBgn0036918	protein_coding
FBgn0263330	ncRNA
FBgn0038098	protein_coding
FBgn0026385	protein_coding
FBgn0029133	protein_coding
FBgn0010265	protein_coding
FBgn0051636	protein_coding
FBgn0032014	protein_coding
FBgn0265609	ncRNA
FBgn0032774	protein_coding
FBgn0025558	protein_coding
FBgn0267874	pseudogene
FBgn0040382	protein_coding
FBgn0010350	protein_coding
FBgn0037855	protein_coding
FBgn0040233	protein_coding
FBgn0013272	protein_coding
FBgn0038302	protein_coding
FBgn0032002	protein_coding
FBgn0265751	ncRNA
FBgn0284253	protein_coding
FBgn0039644	protein_coding
FBgn0000277	protein_coding
FBgn0262029	protein_coding
FBgn0030687	protein_coding
FBgn0263518	pre_miRNA
FBgn0266020	ncRNA
FBgn0024184	protein_coding
FBgn0266151	ncRNA
FBgn0002069	protein_coding
FBgn0038881	protein_coding
FBgn0034281	protein_coding
FBgn0001235	protein_coding
FBgn0033264	protein_coding
FBgn0260776	protein_coding
FBgn0029523	pseudogene
FBgn0042085	protein_coding
FBgn0050178	protein_coding
FBgn0036141	protein_coding
FBgn0042110	protein_coding
FBgn0054028	protein_coding
FBgn0032087	protein_coding
FBgn0262457	pre_miRNA
FBgn0025573	protein_coding
FBgn0030006	protein_coding
FBgn0052205	ncRNA
FBgn0034793	protein_coding
FBgn0037270	protein_coding
FBgn0052282	protein_coding
FBgn0037664	protein_coding
FBgn0035393	protein_coding
FBgn0263241	protein_coding
FBgn0032935	protein_coding
FBgn0063494	protein_coding
FBgn0040038	protein_coding
FBgn0267881	pseudogene
FBgn0015903	protein_coding
FBgn0034176	protein_coding
FBgn0050254	tRNA
FBgn0260655	protein_coding
FBgn0259187	protein_coding
FBgn0263992	ncRNA
FBgn0034391	protein_coding
FBgn0035240	protein_coding
FBgn0050077	protein_coding
FBgn0264708	ncRNA
FBgn0050392	protein_coding
FBgn0263873	protein_coding
FBgn0266001	ncRNA
FBgn0015778	protein_coding
FBgn0039085	protein_coding
FBgn0003416	protein_coding
FBgn0085236	protein_coding
FBgn0264090	protein_coding
FBgn0011760	protein_coding
FBgn0051352	protein_coding
FBgn0035647	protein_coding
FBgn0029152	protein_coding
FBgn0266911	ncRNA
FBgn0085341	protein_coding
FBgn0015247	protein_coding
FBgn0029606	protein_coding
FBgn0052405	protein_coding
FBgn0037167	protein_coding
FBgn0267533	ncRNA
FBgn0039310	protein_coding
FBgn0030105	protein_coding
FBgn0026380	protein_coding
FBgn0051491	tRNA
FBgn0033021	protein_coding
FBgn0032086	protein_coding
FBgn0259222	protein_coding
FBgn0040338	protein_coding
FBgn0053137	protein_coding
FBgn0036520	protein_coding
FBgn0033316	protein_coding
FBgn0052152	protein_coding
FBgn0264381	ncRNA
FBgn0265427	ncRNA
FBgn0033463	protein_coding
FBgn0051081	protein_coding
FBgn0013686	rRNA
FBgn0004780	protein_coding
FBgn0024291	protein_coding
FBgn0085334	protein_coding
FBgn0033473	protein_coding
FBgn0266405	ncRNA
FBgn0003423	protein_coding
FBgn0039897	protein_coding
FBgn0032221	protein_coding
FBgn0040285	protein_coding
FBgn0034206	protein_coding
FBgn0035019	protein_coding
FBgn0053689	protein_coding
FBgn0051431	protein_coding
FBgn0263088	ncRNA
FBgn0034583	protein_coding
FBgn0028862	protein_coding
FBgn0250910	protein_coding
FBgn0265593	ncRNA
FBgn0266362	ncRNA
FBgn0051730	protein_coding
FBgn0037490	protein_coding
FBgn0264601	ncRNA
FBgn0039288	protein_coding
FBgn0263745	pseudogene
FBgn0261932	protein_coding
FBgn0266580	protein_coding
FBgn0040376	protein_coding
FBgn0026619	protein_coding
FBgn0265643	ncRNA
FBgn0266994	ncRNA
FBgn0260480	protein_coding
FBgn0035771	protein_coding
FBgn0037654	protein_coding
FBgn0025382	protein_coding
FBgn0267517	pseudogene
FBgn0264723	ncRNA
FBgn0036921	protein_coding
FBgn0035141	protein_coding
FBgn0267619	ncRNA
FBgn0052194	ncRNA
FBgn0044030	protein_coding
FBgn0266698	ncRNA
FBgn0030868	protein_coding
FBgn0266736	ncRNA
FBgn0036763	protein_coding
FBgn0050496	protein_coding
FBgn0039466	protein_coding
FBgn0262944	ncRNA
FBgn0028402	protein_coding
FBgn0061492	protein_coding
FBgn0264911	protein_coding
FBgn0004577	protein_coding
FBgn0036482	protein_coding
FBgn0046704	protein_coding
FBgn0250849	protein_coding
FBgn0037298	protein_coding
FBgn0031731	protein_coding
FBgn0032799	protein_coding
FBgn0264548	ncRNA
FBgn0086361	protein_coding
FBgn0029092	protein_coding
FBgn0025820	protein_coding
FBgn0028550	protein_coding
FBgn0032706	protein_coding
FBgn0033580	protein_coding
FBgn0266823	ncRNA
FBgn0260953	protein_coding
FBgn0030102	protein_coding
FBgn0031639	protein_coding
FBgn0038110	protein_coding
FBgn0040697	protein_coding
FBgn0265314	ncRNA
FBgn0265297	protein_coding
FBgn0037234	protein_coding
FBgn0033781	protein_coding
FBgn0264707	protein_coding
FBgn0053380	rRNA
FBgn0026388	protein_coding
FBgn0263662	ncRNA
FBgn0065058	snoRNA
FBgn0261461	protein_coding
FBgn0052479	protein_coding
FBgn0284244	protein_coding
FBgn0015268	protein_coding
FBgn0028622	protein_coding
FBgn0002781	protein_coding
FBgn0267643	ncRNA
FBgn0038244	protein_coding
FBgn0267600	ncRNA
FBgn0262351	protein_coding
FBgn0032699	protein_coding
FBgn0039240	protein_coding
FBgn0037005	protein_coding
FBgn0053969	protein_coding
FBgn0032656	protein_coding
FBgn0264000	protein_coding
FBgn0032126	protein_coding
FBgn0028406	protein_coding
